anchor,winner,loser
ramp,airbag,vulture
cash register,rabbit,calculator
staple gun,aardvark,odometer
fireplace,coffee table,pelican
jacket,shirt,carrot
sparkler,necklace,slot machine
spark plug,rag,daisy
football helmet,bowler hat,hawk
unicycle,rocking chair,fire
sloth,mail,horse
telescope,poinsettia,waffle iron
juicer,shell,fungus
taco,bathmat,brussels sprouts
gutter,wall,corsage
egg,uniform,watermelon
slot,stirrup,toe
nutcracker,polar bear,hourglass
crystal ball,odometer,leopard
caterpillar,rabbit,sword
pulpit,cage,beaver
pin,lion,wire
maple syrup,vulture,fig
espresso,candy,anchor
dynamite,electric chair,melon
knee,stockings,lunchbox
station wagon,backpack,cherry
speaker,fishhook,cilantro
panties,arm,shell
toaster oven,poodle,stove
fire,soda,fireplace
fox,roadsweeper,goose
fence,electric chair,donkey
eel,violin,beaver
chainsaw,vulture,sim card
nail polish,dynamite,clothes
cooler,phone booth,grate
vase,grate,terrarium
hippopotamus,rolling pin,puppy
tape measure,peach,stool
prism,knee,chainsaw
paperclip,cardinal,rim
boxer shorts,paper plate,squirt gun
board game,knee,chalkboard
radish,gun,pot
seagull,bat,crystal
granite,space shuttle,blind
hedge,bowtie,windowsill
scooter,stirrup,peach
mosquito net,artichoke,suit
pear,mascara,sauce
chaps,first-aid kit,cape
totem pole,springboard,knee
switch,vacuum,basil
ring,mirror,leopard
file,patch,hot-air balloon
ham,loveseat,chive
amber,jetski,jewel
swing set,cream,cot
humvee,buggy,vial
horn,showerhead,possum
purse,hedge,handkerchief
piano,triangle,otter
bandanna,foam,gopher
mannequin,bassinet,cilantro
handcuff,dolphin,rosary
sweater,bus,hat
lizard,bubble wrap,mosquito
gun,dumpling,spur
corset,coat,wood
pepper mill,burrito,corsage
hairpin,slug,urn
octopus,kangaroo,sidecar
fencepost,air pump,bowling ball
step stool,owl,clipboard
sauerkraut,tugboat,crouton
aloe,lipstick,mango
wolf,licorice,skunk
carriage,limousine,yak
snowboard,grate,tee
doormat,oven,knee
ferry,sandcastle,match
rolling pin,pheasant,pretzel
fur coat,pliers,man
suitcase,fire,keyhole
sequin,ice-cream cone,stilt
arugula,frisbee,grass
antenna,beaver,soldering iron
scoreboard,fishing pole,moth
donut,banana peel,vial
cheesecake,racket,wrap
orange rind,revolver,road sign
soda fountain,spider web,toothpaste
gopher,sloth,urn
thumbtack,xylophone,spider
