item_x,item_y,item_z,dist_x_y,dist_x_z,dist_y_z,format_str
rickshaw,cart,grits,1.8022081524249867,3.671844405371466,3.032493823362088,"Which is more similar to rickshaw, cart or grits?"
flagpole,thermometer,corkboard,2.139176902779663,3.517053096563578,2.92596684885812,"Which is more similar to flagpole, thermometer or corkboard?"
candy cane,bologna,eagle,2.1673718953482917,3.6078493517704997,3.352937692935056,"Which is more similar to candy cane, bologna or eagle?"
propeller,seaplane,swan,1.9278560138066019,3.633712049446135,3.098927191302334,"Which is more similar to propeller, seaplane or swan?"
mashed potato,shrimp,machine gun,2.0252487542990742,3.502641832670929,3.5659968446964463,"Which is more similar to mashed potato, shrimp or machine gun?"
arugula,pretzel,fur coat,2.182036103238149,3.6265700671022363,3.30575994576875,"Which is more similar to arugula, pretzel or fur coat?"
thermostat,soda fountain,chipmunk,2.1367832782706886,3.507834723751297,3.4772770331478915,"Which is more similar to thermostat, soda fountain or chipmunk?"
paintbrush,paint,chili,2.2058082534992365,3.5137800973443456,3.3930832646857736,"Which is more similar to paintbrush, paint or chili?"
batter,clove,cape,2.0015428941040425,3.516324687544082,3.5095464678513255,"Which is more similar to batter, clove or cape?"
chicken,stuffing,dryer,1.328474344758512,3.51204344406446,3.4744200880203673,"Which is more similar to chicken, stuffing or dryer?"
seatbelt,windshield wiper,beaver,2.4413317082452797,3.736568818447,3.494279948166463,"Which is more similar to seatbelt, windshield wiper or beaver?"
chest,photograph,board,2.094776263101822,3.5242466981753444,3.0512509670554446,"Which is more similar to chest, photograph or board?"
hanger,parking meter,knee,2.1788626526062127,3.52717225139891,3.797675186573176,"Which is more similar to hanger, parking meter or knee?"
scallion,grits,deodorant,1.916830409295715,3.6027104119654783,3.250928982218995,"Which is more similar to scallion, grits or deodorant?"
daisy,papaya,slicer,2.4395537187754863,3.5338994127001273,3.041235004290719,"Which is more similar to daisy, papaya or slicer?"
sword,armor,taco,2.2752551655931494,3.750549408286502,3.3455528592350534,"Which is more similar to sword, armor or taco?"
pill,popsicle,ram,2.276371962762012,3.554585260364313,3.393298717103178,"Which is more similar to pill, popsicle or ram?"
fan,screw,chipmunk,2.298165488891745,3.541432866216366,3.5715120558151483,"Which is more similar to fan, screw or chipmunk?"
arugula,chips,scuba,2.2067584888299745,3.6059191804402895,3.518874568182219,"Which is more similar to arugula, chips or scuba?"
tiramisu,dough,turntable,1.3080717728393354,3.5264205244177433,3.5752334028813837,"Which is more similar to tiramisu, dough or turntable?"
boulder,beachball,cardigan,2.4185630848462885,3.5770295220954726,3.7026191604567678,"Which is more similar to boulder, beachball or cardigan?"
bowling ball,dice,shell,2.061149905980317,3.597038273221671,2.9110086159983646,"Which is more similar to bowling ball, dice or shell?"
trampoline,boomerang,boar,2.494004562036555,3.7019832798735424,3.563329610559374,"Which is more similar to trampoline, boomerang or boar?"
swizzle stick,trident,grate,2.025368861062155,3.7010559246856936,3.385217361665556,"Which is more similar to swizzle stick, trident or grate?"
grinder,fishhook,cardinal,2.2036841620530065,3.640132175760861,3.639044286386927,"Which is more similar to grinder, fishhook or cardinal?"
tostada,sprouts,dynamite,0.9913873616510427,3.5687359870052164,3.576488869562632,"Which is more similar to tostada, sprouts or dynamite?"
airbag,sleeping bag,finger,2.3397828161854126,3.542354281371518,3.2632062722374298,"Which is more similar to airbag, sleeping bag or finger?"
violin,cello,cauliflower,1.2010596067309833,3.735277972385847,3.4418058938184064,"Which is more similar to violin, cello or cauliflower?"
flamethrower,matchbox,ant,2.4491231616553937,3.511251204884468,3.520270341407671,"Which is more similar to flamethrower, matchbox or ant?"
rudder,dice,knee,2.305154181547857,3.6875661805631785,3.6404426032503863,"Which is more similar to rudder, dice or knee?"
robot,mailbox,cilantro,2.3363904805298623,3.633596031655915,2.915745605640327,"Which is more similar to robot, mailbox or cilantro?"
steamroller,saddle,bowling ball,2.2015707008065895,3.68539905151799,3.504921278720345,"Which is more similar to steamroller, saddle or bowling ball?"
curtain,rag,chipmunk,2.383852168226836,3.6815663879023357,3.339573652936542,"Which is more similar to curtain, rag or chipmunk?"
ski lift,motorcycle,casserole,2.3884650340311717,3.557358781291673,3.4940409778259087,"Which is more similar to ski lift, motorcycle or casserole?"
alpaca,mole,coffeemaker,0.6624338609724846,3.5541378791654337,3.537723952973276,"Which is more similar to alpaca, mole or coffeemaker?"
microscope,trigger,piglet,2.183048921170494,3.6180305864013125,3.5775326419455027,"Which is more similar to microscope, trigger or piglet?"
badger,vulture,power line,1.3702266315633163,3.594356958151116,3.525915816024084,"Which is more similar to badger, vulture or power line?"
shears,hoe,jetski,1.5583169226306675,3.526345179668651,3.548733170676309,"Which is more similar to shears, hoe or jetski?"
vent,water heater,goose,2.1164252189920605,3.517344765509475,3.566966004724965,"Which is more similar to vent, water heater or goose?"
garbage,taxi,whale,2.306075394397688,3.5330311036391793,3.544249738732504,"Which is more similar to garbage, taxi or whale?"
outfit,straightjacket,crystal,1.770171446513941,3.5051300578548545,3.309803723093447,"Which is more similar to outfit, straightjacket or crystal?"
mattress,canister,hyena,2.488416174650612,3.551493975586742,3.615543742129901,"Which is more similar to mattress, canister or hyena?"
souffle,kiwi,rocking chair,1.4503332367410344,3.631013233640833,3.476501946034686,"Which is more similar to souffle, kiwi or rocking chair?"
bassoon,ukulele,gumball,1.6449264338339762,3.7350967930715644,3.8042363389650826,"Which is more similar to bassoon, ukulele or gumball?"
manhole,stool,bean,2.2837575976378974,3.5230989626212272,2.9658281210206403,"Which is more similar to manhole, stool or bean?"
mantle,notepad,catfish,2.273289139378865,3.517260694651558,3.6784752146853625,"Which is more similar to mantle, notepad or catfish?"
saddle,trapdoor,fire,2.452472836495975,3.522870666841501,3.2931789572398165,"Which is more similar to saddle, trapdoor or fire?"
lifesaver,hotplate,artichoke,2.421534515095627,3.519148469490111,3.292194784656859,"Which is more similar to lifesaver, hotplate or artichoke?"
pretzel,punch,jackhammer,1.773103296839162,3.5595826678051403,3.6096513665791523,"Which is more similar to pretzel, punch or jackhammer?"
raincoat,tag,dynamite,2.1757348235288227,3.533875317732567,3.571267390411364,"Which is more similar to raincoat, tag or dynamite?"
lumber,abacus,coffee,2.491499017195928,3.5749650401008144,3.1731946612548514,"Which is more similar to lumber, abacus or coffee?"
keg,badge,beaver,2.294535788880613,3.613565638821809,3.5853287142198647,"Which is more similar to keg, badge or beaver?"
enchilada,mold,ski lift,2.3908339375831953,3.5150048050762517,2.9117450959162943,"Which is more similar to enchilada, mold or ski lift?"
beer,macadamia,meerkat,2.4791203827604424,3.8266255266407723,3.426409985891143,"Which is more similar to beer, macadamia or meerkat?"
dough,raspberry,car,2.215961269129418,3.537899027242016,3.683584763800262,"Which is more similar to dough, raspberry or car?"
carrot,tortilla,chaps,2.186953166809562,3.5481767363257566,3.2618209011897883,"Which is more similar to carrot, tortilla or chaps?"
chimney,forklift,cilantro,2.4978694961456838,3.5545468130687614,3.8446454295643915,"Which is more similar to chimney, forklift or cilantro?"
top hat,visor,wood,1.8530898698112674,3.518267164864126,3.468044430678024,"Which is more similar to top hat, visor or wood?"
cilantro,pecan,aircraft carrier,2.3231228836125664,3.6973599775850854,3.2766240659568275,"Which is more similar to cilantro, pecan or aircraft carrier?"
christmas card,scarecrow,knee,2.173343370146386,3.6673821958103767,3.2933361863600084,"Which is more similar to christmas card, scarecrow or knee?"
hair,sling,paddle,2.427384943817034,3.5429393578320445,3.0570534500288673,"Which is more similar to hair, sling or paddle?"
lamppost,gearshift,bowling ball,2.369070038573199,3.665707126787938,3.4270982693528307,"Which is more similar to lamppost, gearshift or bowling ball?"
beet,jelly bean,golf cart,2.463630399783315,3.656360180634696,3.6238328591131888,"Which is more similar to beet, jelly bean or golf cart?"
footrest,coat rack,flan,2.094138762072959,3.5375856885829653,3.2934313551151373,"Which is more similar to footrest, coat rack or flan?"
streetlight,camera,artichoke,2.170057637309642,3.506624815450064,3.48697997555859,"Which is more similar to streetlight, camera or artichoke?"
thorn,toucan,tuba,2.085021962802794,3.597268535334175,3.7717035112710198,"Which is more similar to thorn, toucan or tuba?"
bee,puffin,air conditioner,1.8039693803528722,3.501492878972392,3.451593320085371,"Which is more similar to bee, puffin or air conditioner?"
crutch,mop,patty,2.1415033701050157,3.508018648061108,3.366765833154227,"Which is more similar to crutch, mop or patty?"
paper towel,glass,leopard,2.084258822285457,3.505512114096605,3.5708468995196685,"Which is more similar to paper towel, glass or leopard?"
fungus,quill,knee,2.4993470353069935,3.6348441205715347,3.7074490913871965,"Which is more similar to fungus, quill or knee?"
seismograph,trunk,poppy,2.4731404955227707,3.5549264830632863,3.5301686974839974,"Which is more similar to seismograph, trunk or poppy?"
lectern,playing card,whale,2.3957954230581766,3.5317007054912306,3.596285680096987,"Which is more similar to lectern, playing card or whale?"
waffle iron,fruitcake,pigeon,2.4748238733467516,3.5182535850967147,3.4492343937276764,"Which is more similar to waffle iron, fruitcake or pigeon?"
