head,winner,loser
exhaust pipe,green beans,saddle
bunkbed,wedge,eyepiece
golf cart,jack,pajamas
snowman,grapevine,chime
shovel,cleaver,hawk
slicer,tongs,blouse
boulder,diaper,crumb
wagon,baby,ship
flip-flop,grate,punching bag
spider,porcupine,laundry basket
whiteboard,knee,scraper
trigger,doorhandle,poppy
railing,hawk,lightbulb
domino,pigeon,tee
bongo,trombone,kangaroo
place mat,potholder,shell
candlestick,thermometer,caterpillar
swimsuit,lumber,elbow
batter,dolphin,scrambled egg
tackle,slot machine,dough
sauce,hawk,mouthpiece
bow,chime,muff
lighter,cabbage,fire hydrant
mussel,flute,fudge
bulletproof vest,cockroach,lingerie
bee,hippopotamus,knife
wetsuit,cardigan,crystal
robe,hard disk,sewing machine
jalapeno,brussels sprouts,car
can,shaker,hedgehog
clothes,arugula,photo booth
kettle,shark,jar
handbrake,seismograph,artichoke
turntable,doorknocker,cloak
washcloth,fire,bracelet
bank,switch,swan
lock,cilantro,sheath
abacus,pool table,aardvark
lunchbox,wood,swing set
rubber band,polar bear,terrarium
cellphone,treadmill,whale
fishhook,knife,chick
laptop,videogame,clipper
thorn,platypus,grate
crib,bear,sewing machine
router,catfish,duct
roller coaster,arugula,cruise ship
hoe,violin,thorn
potholder,jet,bolo tie
cactus,bonsai,first-aid kit
ginger,mousetrap,turntable
cross,dolphin,bunkbed
exhaust pipe,cane,wood
poodle,typewriter,ferret
bassinet,scallion,chair
bee,recorder,penguin
mattress,blowfish,sandbag
plunger,cardinal,earring
toothbrush,mop,hedgehog
scallion,spark plug,donut
baseball glove,dice,okra
pecan,mashed potato,tugboat
flypaper,poker,bowling ball
guitar,bun,riser
salami,coffee filter,shell
mullet,parfait,contact lens
slot machine,bin,grate
router,shuffleboard,shark
vacuum,engine,meerkat
dishwashing liquid,water cooler,ram
pizza,egg,buckle
leggings,footbath,milk
baseball glove,soccer ball,swan
honeycomb,gun,cashew
mold,saucer,pigeon
punch,papaya,vulture
kebab,crate,pineapple
rug,ant,box
oar,brussels sprouts,scooter
sim card,okra,pedometer
lock,metronome,boar
joystick,meerkat,whistle
mallet,ukulele,polar bear
red carpet,awning,cockroach
sugar cube,milkshake,knee
doormat,knee,pocket
straw,trombone,cinnamon
combination lock,koala,doorhandle
space shuttle,minivan,blouse
scoop,plastic film,boar
curb,pea,pole
streetlight,artichoke,flag
ashtray,clove,grate
column,beachball,desk
bank,juicer,grate
trumpet,staple,piglet
firewood,wrapping paper,crate
steamroller,necklace,pepper mill
mattress,lamp,piglet
fountain pen,tape measure,horse
chinaware,beaver,tongs
ice cream,coffee bean,dagger
pin,air pump,whale
pecan,ketchup,beachball
stretcher,barbell,espresso
tortellini,spinach,lion
pineapple,cheeseburger,tablet
barrette,headscarf,cilantro
worm,chisel,kangaroo
cleaver,fox,retainer
towel rack,mongoose,paper towel
sheet,meerkat,hanger
coat,tag,jet
curtain,slug,windowsill
tumbleweed,cream,fingerprint
roll,crossbow,hot chocolate
mousepad,puppet,spider web
weather vane,first-aid kit,rocking horse
file,cannon,polar bear
gutter,gumball,magnet
corkscrew,wine bottle,cockatoo
scarecrow,grate,daisy
roller,thimble,corsage
zucchini,oyster,knot
paper,duckling,backgammon
lawnmower,patty,spear
mousse,meatball,tuba
tuxedo,outfit,basil
metal detector,spoon,cabbage
scone,laptop,whisk
polo shirt,skirt,anchor
panther,pig,buckle
grate,filter,insole
drill,vulture,fuse
slug,car door,scorpion
blinder,goldfish,chandelier
horn,trophy,guinea pig
rose,artichoke,crib
filter,radiator,fig
goalpost,tube top,slide
metal detector,strawberry,blowgun
toast,yogurt,carriage
koala,generator,moose
shoelace,lanyard,mouse
souffle,popcorn,television
rim,soap,gas mask
lantern,peach,barrel
cleaver,razor,gopher
seafood,stir fry,mascara
wasp,mosquito,pen
shower curtain,duster,appetizer
tiger,neck,beaker
bamboo,mop,snorkel
lanyard,bandanna,cockroach
shopping basket,cooker,firecracker
rack,elephant,scaffolding
album,canvas,grate
cocktail,garlic,clipper
ginger,sardine,bowling ball
airboat,birthday cake,stove
centrifuge,koala,laser pointer
fire,cigarette,milkshake
gas mask,flatiron,corsage
stamp,highlighter,fire
cruise ship,hay,snowboard
brace,whale,bandage
keg,zebra,funnel
duster,tuba,lip gloss
rocket,beer,cigarette
bowl,knee,gumball
face mask,baseball glove,coleslaw
chimney,cabbage,trough
fountain pen,magnet,dandelion
giraffe,polar bear,diamond
mop,paperweight,corsage
knob,smoke alarm,kale
zebra,headset,toucan
crab,drawer,toucan
jumpsuit,shopping basket,ironing board
telescope,map,poppy
dynamite,crown,crossbow
pepper,pastry,mascara
paintbrush,mosquito,spatula
wok,candy,raccoon
ambulance,chick,scooter
overalls,paper plate,stilt
cord,paperweight,fire
burner,pedometer,spider web
tractor,car door,playpen
blowtorch,tree,scoop
road sign,corsage,fishhook
magnet,siren,meerkat
dirt bike,bomb,roll
garter,tie,rack
sugar cube,berry,doll
padlock,gas mask,cockatoo
broom,ping-pong table,corsage
cranberry,bassoon,bead
raincoat,lab coat,chisel
batter,carriage,pet food
burner,crow,candy bar
spider web,rake,television
slide,shutter,corsage
seismograph,poppy,toaster oven
terrarium,headband,roller
jelly bean,grape,coat
bulletproof vest,arugula,bra
earplug,papaya,pipe
cigarette holder,hawk,chinaware
punch,goose,pepper mill
bassinet,rabbit,mat
poker,cigarette holder,artichoke
seal,cockroach,palette
bulldozer,spring roll,camper
polisher,mint,shoehorn
microscope,deer,scaffolding
polygraph,odometer,cherry
footprint,sandal,okra
tupperware,tab,splinter
boat,headband,anchor
hinge,beaver,tongs
beaver,incense,ladybug
grain,turntable,candy cane
alpaca,monkey,hydrant
matchbox,cocoon,ruler
dirt bike,shopping basket,boat
eagle,tennis ball,swan
yolk,throne,wine
casserole,bathmat,hot chocolate
melon,kebab,gravel
stair,home plate,poodle
cooker,cheese,spider web
poinsettia,eyeliner,strawberry
food processor,camera lens,pigeon
raspberry,swan,potato
coin,trashcan,vulture
palette,space shuttle,stamp
ruler,padlock,shark
cracker,arugula,jet
container,corsage,magnet
bubble,pincushion,playpen
rabbit,cockatoo,fruitcake
sunglasses,microphone,fire
game,spider web,door
pocket watch,camcorder,grate
hammock,stake,turntable
triangle,chain,shark
revolver,drill,barrel
kale,watermelon,target
chicken,computer,juice
armor,grinder,celery
ski pole,staple gun,sushi
mashed potato,first-aid kit,pretzel
riser,corsage,streetlight
penholder,knee,gutter
cocktail,flan,hubcap
remote control,iron,brussels sprouts
beard,toga,manhole
boxer shorts,paintbrush,mannequin
pallet,kaleidoscope,block
lampshade,chair,calf
seal,cobra,cable
diamond,penholder,stair
cuckoo clock,loom,warthog
bow,overalls,airplane
caviar,mold,sidecar
panda,corkboard,mustache
mousepad,videogame,grate
patch,knee,fire hydrant
snowshoe,dart,grate
cereal,spider web,hotdog
crayon,sequin,tadpole
bark,space shuttle,teepee
fishbowl,space shuttle,bison
eagle,locket,seagull
peanut,jam,bungee
dessert,gun,gravy
shears,fur coat,icepick
baton,badger,bottle opener
juicer,knee,bologna
tractor,chariot,diaper
firecracker,garter,funnel
joystick,meerkat,abacus
school bus,coverall,ball
bead,lid,humvee
camera,okra,pothole
trowel,piglet,can
shutter,ironing board,cardinal
cap,balloon,vest
airbag,jackhammer,fern
emerald,gumdrop,vulture
undershirt,headband,shears
mitten,swimsuit,artichoke
sword,tennis ball,axe
pastry,jam,crate
staple gun,aloe,sim card
net,cordon bleu,gauze
wine,sifter,chick
beachball,marble,table
faucet,gumball,armor
birthday cake,scrambled egg,jetski
saw,electric chair,fur coat
bomb,trashcan,tapestry
grapevine,horse,knee
snowman,jeep,fire hydrant
pineapple,screwdriver,parsley
pipe,perfume,crystal
lava,totem pole,trombone
jelly bean,oar,celery
arrow,boar,magnet
calf,shower curtain,crayfish
hatchet,knee,cactus
lizard,horse,tablecloth
sewage,anchor,tapestry
stockings,record player,pocket
flask,hot-air balloon,remote control
pincushion,keyhole,cilantro
turtle,snake,candle
corn,first-aid kit,dough
wing,leek,tank
cobra,mosquito,quad
curry,wheelchair,peanut butter
hummingbird,bear,screen
